label,review
0,请南湖区公安分局协助查询联系方式，详情请见附件。
0,反映其在平湖当湖街道卓越铂尔曼酒店（中建三局）做机电通风、空调水安装，承包公司为上海浦昂公司，一起的涉及的四五十个工人共二百多万的工资尚未支付，要求相关部门及时调处。等共计4个事件需处理。
0,来电人反映南湖区科技城曹庄社区原曹庄粮站现商务局所属的居民楼被租赁给别人做烧烤，该烧烤店名字是老王烧烤，油烟味很大，持续3年多，其父亲因为这个去年肝癌晚期去世。其表示对附近居民影响很大，希望部门介入处理，尽快要求其搬离。
0,（扬言）来电人原是澉浦镇南北湖游船码头的承包人之一（总共三个码头），2017年3月份合同到期，当时告知承包人要全部回购，但是来电人和另外一户的码头在2019年8月4日回购后，剩余北湖的另外一个码头仍在继续经营，其认为有失公平，要求有关部门予以处理。（扬言：如不处理，将逐级进行信访）来电人原是澉浦镇南北湖游船码头的承包人之一（总共三个码头），2018年6月份合同到期，当时告知承包人要将三户游船码头全部回购，但在他与另外一户的码头在2019年8月4日回购后，剩余北湖的另外一个码头仍在继续经营，认为有失公平，要求有关部门予以处理。11月4日再次来电咨询处理进度，中心告知澉浦镇答复后，其对答复不认可，认为三个码头同时合同到期，为何（步东明，音似）码头不回购，要求尽快处理。（扬言若不解决，会向北京反映）
0,来电人是开发区（西塘桥街道）中王里小区的住户，反映每天晚上小区附近养猪场有恶臭飘到小区内，影响小区住户日常生活，望核查处理。等共计3个事件需处理。
0,来电人反映嘉善县天凝镇新联村西边有个养猪厂，比较臭，跟当地反映未有处理结果。等共计4个事件需处理。
0,【冠状病毒】【涉疫其他】来电人目前在南湖区凤桥镇三星路10号梅花洲景区对面梅洲酒店6226室隔离。现在反映该酒店卫生状况差，居住条件不好。来电人要求更换新的隔离酒店。请相关部门核实处理。等共计13个事件需处理。
0,系火星人厨具的廊坊的代理商（已投资了60-70万），和火星人厨具签订了相关合同，但是后续发现火星人夸大招商宣传，所规定的不符合实际要求（例如开完店以后还要求开大店，如果不开就按降级处理，随意扣款），因其未完成要求（未达到公司回款160万元的要求，其认为该要求不合理），被降级处理，去年有去过海宁信访局，政府帮助处理了，火星人的副总和其私下签订协议（是一个借条，表示公司要面临上市，这个借条不用还了，借条里有永不降级的条件)，另外公司还承诺会帮扶也未做到，要求对其造成的经济压力进行补偿。等共计3个事件需处理。
0,来电人是湘家荡度假区灵湖路1号碧水澜湾业主，反映小区很多外立墙面脱落严重，多次向开发商反映未果。等共计4个事件需处理。
0,2021年2月9日22时33分肖玲晶（330411199810192621、13758084635，户籍地凤桥镇陈良村西王兜10号，现住新篁竹里苑261号）报警称其父亲肖元根（330411196509062613、13758083421）把家里门反锁了，其回不了家，要求调解。后经了解父女两人因家庭财产、继母关系及肖玲晶找男朋友等问题，分别于（1月10日、1月11日、2月9日）多次报警，民警多次上门化解过，但几个当事人都还存在情况反复，至今该事件还是存在一定的隐患。
0,来电人反映西南湖景区的网红桥开放后，前来旅游的人经常乱停车，导致放鹤洲路拥堵不堪，而且司机随意按喇叭，影响周边居民休息，请有关部门核实处理。
0,来电人在江南国际城2栋附近的金雅花园做水电，老板拖欠1.2万元工资没有付。等共计5个事件需处理。
0,来电人在秀湖公园附近天力建筑工地上干活，反映工地拖欠其2020年11月和12月工资。等共计4个事件需处理。
